ListingsID,PropertyID,PublishDate,LastDate,AvailableFrom
148f3889-aba8-463e-817e-24b5a4d4f9f0,6de3e7fd-734d-4efa-ab95-413bf9c9ea8d,03/08/2022,04/29/2022,11/22/2022
8906102c-b3ae-4aa6-b7d1-2d3810589862,d8eb35a5-fe6a-4686-88d7-0c146885ccd9,02/13/2022,04/16/2022,10/20/2022
7778f865-c07f-403a-b275-a25c4d062663,1728982e-1619-46be-b498-4d440b65b9ac,02/01/2022,04/06/2022,11/21/2022
078596d7-5bfd-4d7b-94bc-f7a311bfe864,f01fc4fa-56d7-4caa-91b4-632e2527785a,02/06/2022,04/30/2022,06/02/2022
a1f1f3c7-f825-4743-9739-19a57aff61c9,ba403642-ac37-4e42-9834-b84f0a608558,03/08/2022,04/15/2022,11/16/2022
5c5b7668-dc24-4b77-8d72-4054a3519651,02024361-b555-453f-b51f-5edaea9df98e,03/09/2022,04/15/2022,11/23/2022
72252eaa-8e1d-4fe3-b052-9c5388eb1d27,0e47bb77-2e04-437f-929a-66915b98c7cf,02/19/2022,04/24/2022,11/04/2022
52570bf5-ff59-4b89-a2b2-fcfa1037384c,94bb0923-ff17-40ef-a064-2b86d38381b3,02/25/2022,04/09/2022,11/06/2022
30652a54-de31-4fee-92b8-166cd488787a,749f8736-af40-45e0-a372-cfe66b3fafee,02/21/2022,04/26/2022,07/16/2022
e44f6183-b4ec-4214-aed7-8a5670c333de,4a54c687-c7db-4c3d-8cb3-c70cbf9d67ba,03/05/2022,04/08/2022,09/27/2022
91018487-e99f-41ab-ad0b-c650a9573f51,a98fbfe7-d347-460f-a2e9-39e7477d34a8,02/03/2022,04/04/2022,11/29/2022
77894745-55fa-493f-acfd-6948d6feebeb,38a16e80-7a1c-4aaf-b60b-da01d51efaca,02/20/2022,04/12/2022,12/28/2022
15bc4027-b5ba-4760-9a8d-2b28a62f4f1a,a14b61f0-b836-4888-874b-e9b49af096d2,02/22/2022,04/25/2022,07/13/2022
0e209a3f-d336-440b-b04c-23f8af95728c,1ebbafcf-a5c5-4bc3-8232-d42eb9515c3c,02/26/2022,04/29/2022,09/28/2022
aac68bf7-3be6-448c-ae0e-fd9f4f443161,5e734b12-2752-4977-8ad2-4a9bef829fdb,02/28/2022,04/12/2022,10/26/2022
